server_id,server_latitude,server_longitude,stake_weight,uuid,distance_km
4,48.8742,2.347,100,5901e531-d24a-4082-ae73-f55a407954e9,7.350139883095803
6,35.6833,139.7667,692,464ad524-b759-49d4-abda-74d3b9340ccd,0.0
7,52.3,4.7,771,cc036953-f715-4b8c-8769-55dc78abe0b8,0.0
11,51.5171,-0.1062,1210,c1f9d234-8771-406e-b206-1cde948d76ff,0.0
13,40.7269,-73.6497,406,d2590a09-24cd-440a-afa9-5e8fde5d84db,0.0
16,38.9694,-77.3864,416,980e1058-ee30-435b-a0b9-a5f155962c81,0.0
19,53.3478,-6.2597,396,62dd0f15-df58-413b-a768-fc79e1065ef1,0.0
20,48.2088,16.3726,113,8361ed19-181e-4824-933b-1ae81a448b13,0.6918243343923127
22,41.85,-87.65,46,4fe65390-a3de-42bb-b1ba-63c4048451b2,0.0
24,47.6097,-122.3331,39,0bd3c32f-3bb6-475b-976b-862272fc958c,0.0
29,50.1167,8.6833,1146,62a5ce85-4e73-42bc-8c49-f849e57a632f,0.0
30,37.5483,-121.9875,538,e9512272-858c-4b07-af4d-a373977a55a3,21.782223690977816
32,52.23,21.0108,37,9d81053e-f039-4584-ab6a-8eb5290760f8,0.0
35,47.369,8.538,310,228a137e-9aa0-4d43-ac9e-c5fb4c839533,24.62832249576223
36,3.1333,101.6833,547,37f45aab-a503-4a12-9d28-5c11f77c3b7e,302.1807042666476
45,60.21,24.66,87,68fd8aa9-a778-4a20-a538-b2ad8691f346,0.0
52,45.5081,-73.555,478,89e7bfbd-2612-4354-bc3d-295bae37b204,231.8371164400388
54,50.69,3.1817,303,c0bd73f7-5a35-4390-a22c-c9c16c0e0a03,0.0
61,49.6833,6.1167,347,7de36368-00b7-43bf-8974-fa6159bf3d2f,15.03779882053526
72,22.3,114.1667,102,c52d7cf1-edcb-4001-b241-3bd7e0ab2b0b,0.0
80,39.9611,-82.9989,37,4a27f1f9-a699-4973-bbf8-7fe296df4c8f,51.323033881818624
82,45.5236,-122.675,33,5b785675-81fb-462b-8b5c-1f8eee0d06fc,0.0
86,40.75,-111.8833,144,36487385-140a-4d83-99cb-fc9cf048a03e,0.0
90,38.63,-90.2,32,0597d019-7e67-4b78-b6da-46224e195083,160.48810372185332
95,25.0333,121.5333,116,790e97dc-724d-479e-8a83-356c52df35dd,0.0
111,18.5236,73.8478,105,2b2dafc9-1cbc-46ec-99f5-cd33507c4fa7,0.0
113,37.5665,126.978,299,37589aba-8100-43c9-a28a-f93225bb3e13,13.501960715351823
127,56.9489,24.1064,1090,20088755-0392-46a5-8f83-f07b171bf061,153.4267873367185
129,59.95,10.75,38,855bcecf-dd1f-45cd-aad8-a57673d7d81a,0.0
130,40.5456,-74.4608,194,be400c19-cc52-4cfb-bd52-648454e91ae4,54.38645483594782
140,29.9667,-90.05,86,cae0fafa-eec3-4a7b-858b-f83712039c8f,0.0
147,48.1439,17.1097,98,5368588f-5362-4576-a278-4b718e794fed,19.963046320219885
153,51.2333,6.7833,159,2ca0c906-473e-4ef2-a278-33be83785bfd,0.0
154,42.7,23.3333,104,7d3f7e4e-24fa-4174-991b-ea1b0587be61,294.94495069634183
158,49.45,11.0833,35,c86f07f8-1df2-44b7-9865-eb3ebd38d089,0.0
177,20.667,-103.35,26,cc7d0ae5-aa20-4407-b447-05e3c915cdd3,308.3591107381852
185,48.5734,7.7521,323,6de7172d-20ae-4aba-a5e0-6226bd671994,0.0
222,12.9716,77.5946,48,42dd7292-703e-4805-a75f-2067df68a13f,0.0
259,40.8258,-96.6852,113,0c30d1b6-f617-4dbc-ae70-87442c5c1059,287.41653812598247
264,50.475,12.365,227,6a50e0bd-70bf-4bb3-9b12-6e8c3c74c2c5,0.0
