server_id,server_latitude,server_longitude,stake_weight,uuid,distance_km
4,48.8742,2.347,100,Ãle-de-France,7.350139883095803
6,35.6833,139.7667,692,Tokyo,0.0
7,52.3,4.7,771,North Holland,0.0
11,51.5171,-0.1062,1210,England,0.0
13,40.7269,-73.6497,406,New York,0.0
16,38.9694,-77.3864,416,Virginia,0.0
19,53.3478,-6.2597,396,Leinster,0.0
20,48.2088,16.3726,113,Vienna,0.6918243343923127
22,41.85,-87.65,46,Illinois,0.0
24,47.6097,-122.3331,39,Washington,0.0
29,50.1167,8.6833,1146,Hesse,0.0
30,37.5483,-121.9875,538,California,21.782223690977816
32,52.23,21.0108,37,Mazovia,0.0
35,47.369,8.538,310,"Schwyz,Zurich,Aargau",24.62832249576223
36,3.1333,101.6833,547,Singapore,302.1807042666476
45,60.21,24.66,87,Uusimaa,0.0
52,45.5081,-73.555,478,Quebec,231.8371164400388
54,50.69,3.1817,303,Hauts-de-France,0.0
61,49.6833,6.1167,347,"Esch-sur-Alzette,Mersch",15.03779882053526
72,22.3,114.1667,102,Hong Kong,0.0
80,39.9611,-82.9989,37,Ohio,51.323033881818624
82,45.5236,-122.675,33,Oregon,0.0
86,40.75,-111.8833,144,Utah,0.0
90,38.63,-90.2,32,Missouri,160.48810372185332
95,25.0333,121.5333,116,Taiwan,0.0
111,18.5236,73.8478,105,Maharashtra,0.0
113,37.5665,126.978,299,"Incheon,Seoul",13.501960715351823
127,56.9489,24.1064,1090,"Vilnius,Kaunas,Siauliai,Riga",153.4267873367185
129,59.95,10.75,38,Oslo,0.0
130,40.5456,-74.4608,194,New Jersey,54.38645483594782
140,29.9667,-90.05,86,Louisiana,0.0
147,48.1439,17.1097,98,Bratislava Region,19.963046320219885
153,51.2333,6.7833,159,North Rhine-Westphalia,0.0
154,42.7,23.3333,104,BucureÈti,294.94495069634183
158,49.45,11.0833,35,Bavaria,0.0
177,20.667,-103.35,26,QuerÃ©taro,308.3591107381852
185,48.5734,7.7521,323,Grand Est,0.0
222,12.9716,77.5946,48,Karnataka,0.0
259,40.8258,-96.6852,113,Nebraska,287.41653812598247
264,50.475,12.365,227,Saxony,0.0
